week_end_date,SampleLocation,case_7d_avg
2022-02-27,OT_Oamaru,3
2022-02-27,OT_Queenstown,37
2022-02-27,OT_Wanaka,2
2022-02-27,SO_Bluff,0
2022-02-27,SO_Gore,1
2022-02-27,SO_Invercargill,16
2022-02-27,TK_Eltham,2
2022-02-27,TK_Hawera,2
2022-02-27,TK_NewPlymouth,30
2022-02-27,TK_Opunake,0
2022-02-27,TK_Stratford,2
2022-02-27,TS_Motueka,2
2022-02-27,WC_Greymouth,1
2022-02-27,WC_Hokitika,0
2022-02-27,WC_Westport,1
2022-02-27,WG_Carterton,2
2022-02-27,WG_Featherston,1
2022-02-27,WG_Greytown,1
2022-02-27,WG_Karori,10
2022-02-27,WG_Martinborough,1
2022-02-27,WG_Masterton,6
2022-02-27,WG_MoaPoint,189
2022-02-27,WG_Otaki,3
2022-02-27,WG_Paraparaumu,12
2022-02-27,WG_Porirua,71
2022-02-27,WG_Seaview,195
2022-02-27,WK_Cambridge,8
2022-02-27,WK_Hamilton,754
2022-02-27,WK_Ngatea,0
2022-02-27,WK_Otorohanga,2
2022-02-27,WK_Paeroa,4
2022-02-27,WK_Taupo,16
2022-02-27,WK_TeAwamutu,12
2022-02-27,WK_Thames,1
2022-02-27,WK_Tokoroa,15
2022-02-27,WK_Turangi,1
2022-02-27,WK_Whangamata,1
2022-02-27,WK_Whitianga,1
2022-03-06,AU_ArmyBay,90
2022-03-06,AU_Beachlands,22
2022-03-06,AU_ClarksBeach,7
2022-03-06,AU_Eastern,7703
2022-03-06,AU_Helensville,9
2022-03-06,AU_Omaha,1
2022-03-06,AU_Pukekohe,96
2022-03-06,AU_Rosedale,556
2022-03-06,AU_SnellsAlgies,7
2022-03-06,AU_SouthWestern,731
2022-03-06,AU_Waiuku,19
2022-03-06,AU_Warkworth,12
2022-03-06,AU_Wellsford,4
2022-03-06,AU_Western,1361
2022-03-06,BP_Katikati,10
